,frequency,number_of_skips,skip_variance,skip_average,word_1_frequency,word_2_frequency,symmetric,chi,pmi,fisher,ll,label
65238,1388,30,5.751895622420246,5.878962536023054,772551.0,582035.0,True,410.5601748613136,0.7743483623596887,1.0,337.98208306378865,1.0
54551,1341,16,0.5187175975278615,0.5249813571961223,291225.0,772551.0,False,2157.0241895498884,1.7236217342543083,1.0,1338.4682338786024,1.0
141137,197,17,4.2624133577263015,4.66497461928934,4730.0,20983938.0,True,1.8537096308084853,0.13721878189224412,0.9175961579242594,1.7972743811010403,0.0
244262,282,19,4.613512901765506,4.946808510638298,15398034.0,1432.0,False,1516.3186430111396,2.8250662945318723,1.0,664.8280404405854,1.0
537,885,30,5.572823901177827,5.768361581920903,15398034.0,2172.0,True,11588.7275623741,3.8740559765633336,1.0,3478.4896603783723,1.0
379801,168,20,5.4744897959183705,6.2142857142857135,2944808.0,4072.0,False,995.1323745965166,2.9566269781979884,0.9999993980359344,401.23359987852035,1.0
240720,214,18,4.258450519696043,4.649532710280374,1610833.0,41856.0,True,70.2536662466382,0.8145182033539841,1.0,57.21043414494571,1.0
90135,214,19,5.33954930561621,5.859813084112148,126834.0,356631.0,True,214.818857985044,1.3903859322615588,1.0,147.93512520645425,1.0
157173,926,24,3.657541435562046,3.7548596112311015,23917.0,1610833.0,True,10581.317001707836,3.735317607986701,1.0,3113.709556885005,1.0
154716,108,21,5.601594650205761,6.953703703703702,694.0,8343804.0,True,924.4978983945604,3.3693953565613772,0.9999992182016956,324.00250565832715,1.0
77005,654,21,5.403312010773502,5.58256880733945,48880.0,2602765.0,True,788.2260037377481,1.510150077707053,1.0,524.145439893613,0.0
397745,602,17,2.7377181267314916,2.817275747508305,356631.0,582035.0,True,138.2609766774604,0.6843742482258577,1.0,116.59806301285423,1.0
351363,313,17,3.828068062346252,4.047923322683706,538.0,2602765.0,False,38323.41248349543,6.952516401291059,1.0,2626.632124965936,0.0
106397,143,12,2.4279426866839446,2.6503496503496504,3024.0,13525175.0,True,66.47243683941328,0.9540585323309684,0.9999998086199766,52.39538298807179,0.0
381530,110,16,3.4958677685950423,4.090909090909091,1271235.0,15730.0,True,151.72993204945254,1.6079028878157402,1.0,97.72236357984569,0.0
211811,312,12,1.457716962524655,1.516025641025641,4500.0,20983938.0,True,122.26072724720228,0.872484363420476,1.0,98.88480408218125,0.0
134701,112,13,2.572863520408164,2.9107142857142856,2602765.0,9492.0,True,102.40982492458643,1.3288184537787229,0.9999986950284494,71.97598449751493,0.0
206340,101,15,2.857955102440937,3.3564356435643563,356631.0,7830.0,False,1828.4298469772773,4.32491584701231,1.0,414.84283595846017,0.0
453694,976,31,4.9612261908761095,5.123975409836065,5848208.0,26003.0,True,1812.5621550958288,1.830357231431904,1.0,1092.7995567904572,1.0
186184,104,17,5.059448964497042,6.0480769230769225,31525.0,772551.0,True,82.15098827795252,1.2425338627923423,1.0,59.16810072573186,1.0
505174,137,8,1.4708295593798284,1.5620437956204383,2206019.0,9893.0,False,242.89067156067344,1.7983994803156662,1.0,147.30393339462802,0.0
492248,369,22,4.8522557854304855,5.159891598915988,12084.0,2944808.0,True,1454.166818031876,2.522497938827371,1.0,688.6336991967592,1.0
396889,271,17,4.1710216364156265,4.450184501845018,1217.0,5848208.0,True,5243.805358166215,4.399045940521759,1.0,1196.1478738842598,1.0
216570,199,19,4.877149566930126,5.391959798994975,4651.0,5848208.0,True,462.7016214414898,2.0193097479006497,1.0,262.1905951732237,1.0
342215,257,20,5.952898605580707,6.455252918287938,3262.0,15398034.0,True,314.00423755659403,1.5034142018793304,0.999999358159524,211.8142011640576,1.0
45768,465,20,4.5853162215285,4.791397849462365,8343804.0,4590.0,True,2302.172230129148,2.7501081746704017,0.9999989190660692,1016.7727961655992,1.0
451850,144,15,4.846209490740741,5.409722222222222,4220.0,15398034.0,True,6.266644876883582,0.2962284372451052,0.993370984587389,5.850621722103924,1.0
79564,140,12,3.5395918367346937,3.871428571428571,252451.0,59192.0,False,474.01786693767497,2.3760981118651188,1.0,235.35903145086655,0.0
393562,150,14,2.6232888888888897,2.893333333333333,934470.0,49953.0,True,51.41706238211749,0.8323197089139143,1.0,41.65503980037806,0.0
77003,105,10,2.7918367346938773,3.085714285714286,29220.0,356631.0,True,395.31205100313315,2.481077916414179,1.0,189.0366824513797,1.0
328624,119,8,1.959607372360709,2.100840336134454,1419.0,13525175.0,False,210.62223493490615,1.7805885090210438,1.0,130.26473069414587,0.0
349306,104,7,1.3003883136094674,1.3942307692307692,1278.0,20983938.0,True,66.39211535003915,1.1035590278567111,1.0,50.45475468172472,0.0
186022,714,31,8.009034986543645,8.372549019607844,880654.0,21761.0,True,13368.480952128077,4.367680789348029,0.9999994672840924,2986.3599007587486,1.0
18060,186,15,2.6938085327783554,2.9301075268817205,12042.0,2602765.0,False,297.5881948041511,1.7173313259393268,1.0,185.35371782435317,0.0
63554,1085,27,2.2890492471702544,2.3474654377880184,5496740.0,2402.0,True,47732.459036666456,5.508887626840063,1.0,6729.656776080403,0.0
310284,531,19,3.2630895762179866,3.3841807909604515,207210.0,750663.0,True,223.537944147758,0.9196016427421938,1.0,176.75730996765418,0.0
128048,3761,21,0.8862759109660495,0.8912523265089072,574499.0,356631.0,True,31155.002068661,3.346456691391729,1.0,10717.92842937481,1.0
201671,130,12,2.8976331360946754,3.1923076923076925,34531.0,803404.0,False,127.80616288690052,1.3765707451766858,0.9999993886527284,88.41122182668644,0.0
118562,203,16,2.395981460360601,2.600985221674877,5496740.0,3319.0,False,887.3411206651081,2.6242317383207383,1.0,407.318766984219,0.0
258758,458,20,4.211618771571859,4.403930131004367,9093.0,5848208.0,True,1380.2578399311642,2.2546735024730684,1.0,722.2757800091803,1.0
89483,177,8,0.8954642663347059,0.9378531073446328,659.0,5848208.0,False,4201.604485609405,4.669481246956551,1.0,854.4839272380689,1.0
436404,355,18,3.227605633802816,3.4,39718.0,2378400.0,True,200.5785108820327,1.0581834643280246,1.0,152.61301529671155,0.0
311274,156,17,3.0557610124917813,3.4294871794871797,2525.0,5194216.0,False,746.8243794521153,2.720433512633768,1.0,330.79658151687033,0.0
